#Zählrohrwinkel 2*theta/°	Rate bei 35kV	R(35kV)/Imp/s
26.0  , 	44.0
26.1  , 	57.0
26.2  , 	53.0
26.3  , 	60.0
26.4  , 	61.0
26.5  , 	62.0
26.6  , 	70.0
26.7  , 	78.0
26.8  , 	77.0
26.9  , 	86.0
27.0  , 	106.0
27.1  , 	111.0
27.2  , 	120.0
27.3  , 	134.0
27.4  , 	127.0
27.5  , 	143.0
27.6  , 	153.0
27.7  , 	159.0
27.8  , 	170.0
27.9  , 	190.0
28.0  , 	185.0
28.1  , 	189.0
28.2  , 	191.0
28.3  , 	190.0
28.4  , 	174.0
28.5  , 	174.0
28.6  , 	155.0
28.7  , 	137.0
28.8  , 	143.0
28.9  , 	126.0
29.0  , 	126.0
29.1  , 	104.0
29.2  , 	93.0
29.3  , 	88.0
29.4  , 	83.0
29.5  , 	63.0
29.6  , 	57.0
29.7  , 	55.0
29.8  , 	52.0
29.9  , 	51.0
30.0  , 	53.0
